text,sentiment,prep_processed_text
Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings ,sadness,plot step cut minivan tomorrow drop line preschoolpolitic momthing
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy ,joy,love Honesty good policy
doing some testing with my current earth burst team,anger,testing current earth burst team
"#ntfc mourinho is worried,  bringing Ibra  and Rushford on.  #panic",fear,ntfc mourinho worried bring Ibra Rushford panic
@hotpatooties more like quickie divorce #awful,fear,like quickie divorce awful
Final night shift coming up.  I won't miss it but I will miss my work pals and the hysterical laughter that gets us through the night,joy,final night shift come wo miss miss work pal hysterical laughter get night
@aidankerrpol I think you should do. Get the fashion police involved. ,fear,think fashion police involve
So Rangers v Celtic ll ,anger,ranger v Celtic ll
@HeyCaraJay I am inconsolable at this GIF in context,sadness,inconsolable GIF context
"I just really enjoy bright colors, like the colors you would see downtown Miami",joy,enjoy bright color like color downtown Miami
ugh!! this is the worst!! i didn't read at all this whole first month of school and i have a unit test on friday!!! awe man!!,fear,ugh bad read month school unit test friday awe man
"seek to conduct attacks against Israel, intended to provoke a reaction that would further inflame feeling within the Islamic worldâ€. â€¢",anger,seek conduct attack Israel intend provoke reaction inflame feeling islamic
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,sadness,want win wild card play Cubs road sadness
I dislike people who get offended by the littlest shit .,anger,dislike people offend littlest shit
"Holding a grudge on someone will stop your blessings from God ,learn to forgive &amp; forget ðŸ™ðŸ¾",anger,hold grudge stop blessing God learn forgive amp forget dY
New job training= too much meat eating! Oh well. Also- got approved to drive for Lyft! Just need a car... #day35 #sober,sadness,new job meat eat oh got approve drive Lyft need car day35 sober
@Coyblake6 @ChloeCramphorn hahahaa you know coy!,fear,hahahaa know coy
".@REDBLACKSâ€™ Chris Williams: 5 yards shy of joining 1,000-yard club. Bowman (1,279), Walker (1,168) &amp; Roosevelt (1,095) already there. #CFL",fear,Chris Williams 5 yard shy join yard club Bowman Walker amp Roosevelt cfl
^^^^^\n//Don't worry if your character is already taken. The RP I'm looking for is a non couple forming RP. Just a fun loving haunting.//\n^^^,fear,worry character take rp look non couple form rp fun love
the rappers who stayed true to the game is rich.,sadness,rapper stay true game rich
".@Tolumanda love it! so true. As @Deedeey_ taught me, fear can be an illusion. #coaching  #courage",fear,love true teach fear illusion coach courage
"@gardiner_love : Thank you so much, Gloria! You're so sweet, and thoughtful! You just made my day more joyful! I love you too! ðŸ˜ŠðŸ’•",joy,thank Gloria sweet thoughtful day joyful love
"Peopleâ€™s deepest passions often scare them too much to admit, even to themselves.",fear,peopleaEUR s deep passion scare admit
"@BrumSciComm in a danish.  What horror, what depths. #gbbo",fear,danish horror depth gbbo
i can't believe they're all messing up my favourite of all bakes i feel personally offended,anger,believe mess favourite bake feel personally offend
"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,m nervouswreck m pileup GoingCrazy HelpMe Insane Antisocial
It's a beautiful day today. Cloudy but sunny and breezy.,joy,beautiful day today cloudy sunny breezy
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,fear,shy freshman year guy introduce ask speak English
My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,anger,husband find rabid hockey fan like wait line 4 6 window sticker SJ NHL AHL hockey
petrify  me in the fossil type of way,fear,petrify fossil type way
Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,fear,grim despair feeling look self family hubby fight 20 year country work 20 year
If you get called #shy this means you are #considered.Turn those #negatives to #positives Quote #MarnieMcCormack from @jpmorgan #womenintech,fear,call shy mean consider turn negative positive Quote marniemccormack womenintech
@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used!  #appauling  #dismal #beyondajoke #useless,fear,simply bad airline worstairline appaule dismal beyondajoke useless
"Dark, dense, and exhilarating come the finale, #HellOrHighWater is a gripping watch.",joy,dark dense exhilarating come finale hellorhighwater grip watch
Can we start a 'get Chris Sutton off our tv campaign? Spread the work  #pundit #noclue,fear,start Chris Sutton tv campaign spread work pundit noclue
I have another test tonight ,fear,test tonight
"Texans played horrible.  Bad play calling, bad protection of the ball, bad coaching, bad defense, bad overall performance. #Texans ",fear,Texans play horrible bad play calling bad protection ball bad coaching bad defense bad overall performance Texans
"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav #offended",anger,wish sis 12 midnight receive reply 2nd sis wish get reply know fav offend
"The abysmal ignorance, frivolity and levity of the Italian priests stupefied him.' - Roland Bainton on Luther, #ReformationDay",joy,abysmal ignorance frivolity levity italian priest stupefy Roland Bainton Luther ReformationDay
@FacMagnaAmerica  #CureForInsomnia And the left said WE were all doom &amp; gloom. The Trump Train is so much more fun!,sadness,CureForInsomnia left say doom amp gloom Trump Train fun
Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife  #love #hardworkpaysoff #fun,joy,use smile change world let world change smile quote actorslife love hardworkpaysoff fun
@British_Airways #lost #bag #stillwaiting go home in2days. DM'd you my info and have rung 9times a day. What more can I do? #wheresmybag,sadness,lose bag stillwaiting home in2days info ring 9times day wheresmybag
@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. ,fear,entire team coach play coach scared jumpstreet
@FoRDaYS14 ðŸ˜³ chewing what? #smile #arcdental #turlock,joy,chew smile arcdental turlock
Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,sadness,Mayor visit downtrodden o town brave pr stunt
"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  ðŸ¤—ðŸ˜",joy,oh FANTASTIC bet super exhilarate
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,fear,fav movie horror like see great year
Have to say that third City kit is fucking awful. Someone at Nike wants shooting.,fear,City kit fuck awful Nike want shoot
"So is cheerfulness, or a good temper, the more it is spent, the more remains. Ralph Waldo Emerson",joy,cheerfulness good temper spend remain Ralph Waldo Emerson
"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,Archie offense kinda old
i've been rooting for him since the beginning #anxiety #BB18,fear,root beginning anxiety BB18
"repentance, and trusting in Christ. It is lowly and painful, but it is also joyous, peaceful, and absolutely glorious. (2/2)",joy,repentance trust Christ lowly painful joyous peaceful absolutely glorious
@thetroche94 @ramiro_cedeno yeah if you want to become obese it is! ðŸ˜… I can afford it so I don't think it's that serious haha,sadness,yeah want obese afford think haha
@DailyMailCeleb @KTHopkins Katie I love how you describe yourself as 'normal'. Really you're anything but! #hilarious #neverchange,joy,Katie love describe normal hilarious neverchange
"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",fear,dreadful half mention rashford get end couple ball pace
@russian906 @kingerpag @dannewton1978 Of have a suspicion it was @lct1975 you know!!,fear,suspicion know
"With that draw, the scum must be rubbing their hands with glee! Typical draw for the Woolwich lot!!! #jammygunnerscum",joy,draw scum rub hand glee typical draw Woolwich lot jammygunnerscum
"@_JuliaSteiner : I liked that she was not moping around in all of the episode. She had a moment of emotional weakness, felt sorry about -",sadness,like mope episode moment emotional weakness feel sorry
A night where depression is winning... #depression #fml #help,sadness,night depression win depression fml help
"@IndieWire @cinemaeyehonors #WaltzWithBashir was incredible, tho I think it's more of an #animated film than #documentary about #Lebanon war",joy,waltzwithbashir incredible tho think animate film documentary Lebanon war
Flight 815 crashed on The Lost Island 2004 #lost @JoshuaJThurston,sadness,flight 815 crash Lost Island 2004 lose
@marielleblaine8 @princesskeilani I told pine I didn't want it so I didn't have to have it,sadness,tell pine want
Nor hell a fury like a woman scorned -- William Congreve,anger,hell fury like woman scorn William Congreve
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous ðŸ˜¥ðŸ˜¥,fear,feeling know information scare bad test collegelife nervous
@theJeremyVine Noel Edmonds reckons a cat he's talking to is stressed because of the uncertainty over #GBBO future!?!? #plot #lost,sadness,Noel Edmonds reckon cat talk stress uncertainty GBBO future plot lose
My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr,sadness,friend tell pretty Trigger tell ugly confused realise pretty ugly tru tumblr
Listening to Joey really helps me and my anger.,anger,listen Joey help anger
@carlybigelow13 first you take the room now you wanna beat me up #bully,fear,room wanna beat bully
@NaziaMemon01 yeah a terror packed terror supported speech..,fear,yeah terror pack terror support speech
@SilkInSide @TommyJoeRatliff that's so pretty! I love the sky in the background and the purple highlights with the dull colors is great,sadness,pretty love sky background purple highlight dull color great
@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive,anger,agree offense ass second half td score drive
@FraserKeegan just had a steak pie supper #tremendous,fear,steak pie supper tremendous
"@DiscordianKitty He has charisma? I guess, if you like people who looked coked out and speak as if they're a school bully?",fear,charisma guess like people look coke speak school bully
@DailyMailCeleb @KTHopkins Katie I love how you describe yourself as 'normal'. Really you're anything but!  #neverchange,joy,Katie love describe normal neverchange
one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome ,anger,month til bday think time flaunt get pretty awesome
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness,haikuchallenge crisp autumn freedom purchase mourn
How can America be so openly embracing racism. ,fear,America openly embrace racism
I don't talk about politics because people nowadays get offended easily!,anger,talk politic people nowadays offend easily
@CBCNews Canada should be a driving force of democracy freedom rights - instead we help #dictator #misogyny #Sharia #Islam  #polygamy,fear,Canada drive force democracy freedom right instead help dictator misogyny Sharia Islam polygamy
@Netflix_ME penny dreadful season 3?,sadness,penny dreadful season 3
"Even death is unreliable. Instead of zero it may be some ghastly hallucination, such as the square root of minus one.  Samuel Beckett",fear,death unreliable instead zero ghastly hallucination square root minus Samuel Beckett
Never dull moment here,sadness,dull moment
"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. ",sadness,know man assume heated argument penis
@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful,sadness,contact shocking experience Clear Sky Holidays book guy customerservicefail dreadful
@hm_custserv #awful service at your Camden store yesterday. Assistants thought it more important to put clothes on hangers than serve.,fear,awful service Camden store yesterday assistant think important clothe hanger serve
@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec,anger,unfortunately wo end follower whichever candidate elect throw tantrum win elec
There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done #smiling,joy,v satisfy open old file able check thing smile
Just #terrible from the cats there. Wow. #AFLCatsSwans,fear,terrible cat wow aflcatsswan
@CNN &amp; @donlemon must be rejoicing ovet #Charlotte protests. \n#NorthCarolina,joy,amp rejoice ovet Charlotte protest
#start ur day wit a smile\n#buviobby,fear,start ur day wit
#NawazSharif confesses that #Pakistan  supports #terror at #unga\n#BurhanWani,fear,NawazSharif confess Pakistan support terror
Can't believe I've only got 2 days off left ðŸ™„ #backtoreality #raging,anger,believe get 2 day leave dY backtoreality rage
Excited and nervous for Tuesday,fear,excited nervous Tuesday
@dfkm1970 @tomddumba the struggle is real. Whoa! I worry for the younger generation ðŸ’”,fear,struggle real whoa worry young generation dY
"A cheerful heart is good medicine, but a crushed spirit dries up the bones -Proverbs 17:22-",joy,cheerful heart good medicine crush spirit dry bone
People fuckin irritate me,anger,People fuckin irritate
@greencapt there's something to note in the fact that the mask manufacturer produced her smiling and him frowning.,sadness,note fact mask manufacturer produce smile frown
@lindseylouwho_ be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!! #awful #TNF,fear,nice Texans hold ball fuller hopkin chance awful TNF
3:45am and off to the hospital! Elouise's waters have gone! #panic #Labour #LittleSister #superexcited,fear,hospital Elouise water go panic labour LittleSister superexcite
Need a new outlet for ,anger,need new outlet
@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me #optimism #itsagunalright,joy,look like book shape like gun optimism itsagunalright
and apparently he's supposed to have a Scottish accent??? I'm #offended,anger,apparently suppose scottish accent offend
Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity ,fear,well lonely know bad lonely Loneliness aloneinthecity
@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,anger,huh sprint coach slow team comp talk rob living outrage
What a #lively #lovely #shower ðŸ˜‡ ..,joy,lively lovely shower
When you make a great tasting shake and no words can describe it!ðŸ˜ƒðŸ‘ŒðŸ»  #herbalifenutrition #tastesogood #nowords,fear,great tasting shake word describe herbalifenutrition tastesogood noword
Does anyone remember a movie that is animated in the late 70's called Shame of the Jungle John Bulushi was in it wild if that's your taste,joy,remember movie animate late 70 call Shame Jungle John Bulushi wild taste
More #checking at #work today\n\n#coffee #drank and now it's #down to some #serious #business \n\n#Thursday bring on #Friday,sadness,check work drink business bring Friday
@EBled2 Great to have you as our tournament chair and award was #serious,sadness,great tournament chair award
Bunk ur classðŸ“š at least once in your life time cuz later when u look back good marks will not make u happy but memoriesðŸ˜Š will'    -APJ,joy,Bunk ur life time cuz later u look good mark u happy
Feeling worthless as always ,sadness,feel worthless
I truly believe in my heart right now that Satan is rejoicing because we are all against one another,joy,truly believe heart right Satan rejoice
"For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch anyway.",sadness,team big Bayern like play football pitch fucking dreadful certainly Emirates pitch
@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.,anger,specific amp intentional way intention provoke conversation systemic racism black
"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",sadness,blanket hoody Eternal Sunshine mope
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM  #SingleGirlProblems,fear,finally tell therapist sexuality frontier sure singlegirlproblem
Well @AprilDRyan Trump's rabid base needs 2 hear this &amp; U can always find an overseer like King to say it.\n@JoyAnnReid @SMShow @frangeladuo,anger,Trump rabid base need 2 hear amp u find overseer like King
@DuncM1981 @pmallon72 At the risk of being blocked I thought that video from the wake was hilarious.,joy,risk block think video wake hilarious
3:45am and off to the hospital! Elouise's waters have gone!  #Labour #LittleSister #superexcited,fear,hospital Elouise water go labour LittleSister superexcite
Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,sadness,need tell Candice stick shitty pout wind change gbbo
@swagalini ive been through the denial and anger i am in pure acceptance,anger,ve denial anger pure acceptance
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear,bus car crash shake bit week absolute horror icing cake
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",fear,addition fiction wish luck research paper semester 15 20 page oh boy daunt
#welfarereform should not be a 'model' for #snap.,anger,welfarereform model snap
Accept the challenges so that you can feel the exhilaration of victory.,joy,accept challenge feel exhilaration victory
At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,sadness,age gray gray bad eye perspective depression healingjustice
In dire need of a worship session to just let go of everything,fear,dire need worship session let
First day of college feeling nervous,fear,day college feel nervous
"Trying to loveee somebody, just wanna love somebody right now, guess there's just no pleasing me",joy,try loveee somebody wanna love somebody right guess pleasing
@KatelynKolsrud thanks mucho kateðŸ’• #sober,sadness,thank mucho sober
"@mdivincenzo9 he's stupid, I hate him lol ",anger,stupid hate lol
Watch this amazing live.ly broadcast by @kaylaaa_sartorious  #musically,joy,watch amazing broadcast musically
@KurakkuSora he is.\nSure his mind was clouded but...],sadness,mind clouded
I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol,sadness,got diagnose severe extreme depression know difference lol
Happy Birthday @Brooke56_56  #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,joy,happy Birthday cheerchick jeep jeepgirl idriveajeep jeepjeep cheer
"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp",sadness,m kind confused thing right great future hand new thing lose needhelp
My roommate turns the sink off with her foot to avoid germs and a guy says 'YOUR roommate is feet girl?! I'm so sorry' plz help ,fear,roommate turn sink foot avoid germ guy say roommate foot girl sorry plz help
â˜ŠFocusing primarily on the person youâ€™re talking to rather than yourself and the impression youâ€™re making lessens social anxiety.,fear,primarily person youaEUR talk impression youaEUR make lessen social anxiety
Watch this amazing live.ly broadcast by @matt.boss #lively #musicallyjh,joy,watch amazing broadcast lively musicallyjh
"significantly, with a #bitter smile, 'let me",anger,significantly bitter smile let
Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote #inspiration #happy,joy,live simply dream big grateful love laugh lot unknown quote inspiration happy
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,honest hope annoy southern bint look pout go week Selasi FTW
"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",anger,help maintain boost status world class centre education culture tolerance outrage
@Marissa_Frost @NevAmore_MFC awe I love you twooo!!! come adventure with me someday!,fear,awe love twooo come adventure someday
my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive :) :):),fear,alarm clock ring morning n flatmate knock door ask set fire burn alive
@TehShockwave turn that grumpy frown upside-down\n\nYou did something next to impossible today,anger,turn grumpy frown upside impossible today
When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts.,anger,grown adult drink drink assume raise rage alcoholic want part
@HillaryClinton @TheDemocrats It's ok 2 be disgusted or dishearten with presidential race but don't let that stop u from voting IT MATTERS,sadness,ok 2 disgusted dishearten presidential race let stop u vote matter
@pandaflo22 We are sadden by this because we always strive to bring the best service to our customer. We will always be here for you. CM,sadness,sadden strive bring good service customer cm
Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it,joy,thank teach live long amp ride exhilarate know
"@JoyceCarolOates \nBreath. You are trending despondent. Mrs Clinton will win. If you keep your gloves on, guard up, and punch like hell.",sadness,trend despondent Mrs Clinton win glove guard punch like hell
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",sadness,bad news fam life hard awful depression anxiety atleastihavebuffy
Check out @VovimPrgel - From Scotland #gamer #YouTuber #vlogger #designer #animator #artist. TY for following The Wake #horror #horrorfilm,fear,check Scotland gamer YouTuber vlogger designer animator artist ty follow Wake horror horrorfilm
Been working in Blanchardstown shopping centre for over 2 years now and I only figured out today where Marks &amp; Spencer's is #lost,sadness,work Blanchardstown shopping centre 2 year figure today Marks amp Spencer lose
"My two older boys were elated, my toddler was terrified. I have pics of his poor little face peeping through the hole in the basket.",joy,old boy elated toddler terrified pic poor little face peep hole basket
Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears,joy,lion protect stormy listen laughter tear
anxiety level- 100,fear,anxiety 100
"@carysmithwriter @Maria_Savva @RealRockAndRoll We're the least known band in the World, but so glad you asked #muchlove #hilarious",joy,know band World glad ask muchlove hilarious
"After Nawaz Sharif's speech on terrorism, Kejriwal is expected to talk on Governance.",fear,Nawaz Sharif speech terrorism Kejriwal expect talk Governance
@littlebakaa @AlcohoIPorn give me a smiling emoticon will ya? i dont like the idea of you frowning &gt;.&lt;,sadness,smile emoticon ya nt like idea frown
@BeeTuppy We're sorry to hear about the issues and how this is making you feel. We don't like to hear our customers being unhappy :-( We,sadness,sorry hear issue make feel like hear customer unhappy
Fosu Mensah is having a complete nightmare! It's the reason all Northamptons attacks come from the left.,fear,Fosu Mensah have complete nightmare reason northampton attack come left
@datboyJuniorE lool soon as man start loosing weight.  Its panic,fear,lool soon man start loose weight panic
Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,joy,optimism lead success Bill Kerr success optimism goal
If Monday had a face I would punch it #monday  #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,fear,Monday face punch monday face punch fight joke like firstworldproblem need coffee asap follow
I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 9/10 I turn him down just from habit ðŸ˜­,fear,soooo nervous actually attractive guy try talk person like turn habit
@alicehouston18 sorry I'm just angry my drone flew away,anger,sorry angry drone fly away
"@CBSThisMorning @newsgirl123456 again, profiling DOESN'T discourage (September 20, 2016; 18:41 EDT)  #TRUMP #FAIL",fear,profiling discourage September 20 2016 EDT TRUMP fail
"@my2k aaa Cam animated that, so proud of our boy",joy,aaa Cam animate proud boy
second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL ,joy,second day job get 45 dollar tip dude constantly twitch eye lololol
"Today I reached 1000 subscribers on YT!! #happy, #goodday, #thankful",joy,today reach 1000 subscriber YT happy goodday thankful
the teams that face Barca and Bayern after a defeat are the ones who face the wrath,anger,team face Barca Bayern defeat one face wrath
When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology  #TMS #ECT,sadness,health insurance wo cover TMS let know cover ECT mentalhealth psychology tms ECT
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy,sadness,try 2 early flt 2day Turnd away bcuz 2 late agent let pas silvereliteleftbehind unhappy
Pinterest one dessert... Next thing you know your pinning how to make 27 different visually pleasing mouth watering never gonna make sweets.,joy,Pinterest dessert thing know pin 27 different visually pleasing mouth watering gon na sweet
@PeanutRD @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen  hey #sparkling is the word I just picked 4 my biz card,joy,hey sparkling word pick 4 biz card
@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!,anger,good thing FBI offend
Riggs dumb ass hell lolol  #LethalWeapon,joy,Riggs dumb ass hell lolol LethalWeapon
"@leesyatt you are a cruel, cruel man. #therewillbeblood ",anger,cruel cruel man therewillbeblood
Seeing something that hurt so much in the past in front of me now and not a single sign of grieve. Magicalllll.  âœ¨,sadness,see hurt past single sign grieve Magicalllll
"3 weeks into the course and have had the kitchen sink thrown at me, I m still pulling knives and forks out of my ears",sadness,3 week course kitchen sink throw m pull knife fork ear
@JonnyDunn93 and Gerrard was awful then,fear,Gerrard awful
thereâ€™s shaytan in this room wallahi its been dark all the time now the lamp is on!! omg shaytan,sadness,thereaEUR s shaytan room wallahi dark time lamp omg shaytan
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,fear,thanks Ryan amp Brad scary shit episode think heart s6 horrific
"@ezlisteningdisc it doesn't offend me but it's just,,, Weird.",anger,offend Weird
"Vacation wise, Egypt offers great places, amazing scenery, bright skies and good weather at a very good and affordable price for students.",joy,vacation wise Egypt offer great place amazing scenery bright sky good weather good affordable price student
@alicemazzy he was more partisan on social issues a few years back; now he just concern trolls the center left as Chait does the far left,fear,partisan social issue year concern troll center leave Chait far leave
@TaraSetmayer @oliverdarcy AA have the right of passage when it comes to the 'N' word.  Why should he insult him in his church.  Ignorant!,anger,aa right passage come n word insult church Ignorant
"don't be with some just because they try to drown you in gifts. be with someone who makes you truly happy, without the materialistic things.",joy,try drown gift make truly happy materialistic thing
I feel like I am drowning. #depression #anxiety #falure #worthless,fear,feel like drown depression anxiety falure worthless
@carlybigelow13 first you take the room now you wanna beat me up ,fear,room wanna beat
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,sadness,Sunderland time line funny doom amp gloom face long trip midweek whatgoesaroundcomesaround
@EE your a joke I pay for data when I'm in Spain and you then text and say I've used up all my data #terrible service,fear,joke pay datum Spain text data terrible service
I've got some new pens to break in. Name an animated series and I'll draw you in that style ðŸ–,joy,get new pen break animated series draw style
remember when that guy got #angry that i kept saying gary sanchez was the best baseball player in the world... lmao,anger,remember guy get angry keep say gary sanchez good baseball player world lmao
"@SiobhanSynnot  Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW",anger,oh good God Quentin Letts comedy turn angry BBCTW
the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,anger,1975 play antichrist wo play hustle outrage
Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life ðŸ™„ #nightmare,fear,reverse half way wood collect dog n reverse park life dY nightmare
Awareness of time is awareness of time lost. #awareness #time #lost,sadness,awareness time awareness time lose awareness time lose
@SadiqKhan #terrorism shouldn't be a way of life in the united etates and wasn't until #islam brought it here! #IslamExposed #islambacon,fear,terrorism way life united etates islam bring islamexpose islambacon
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,suppose work wtf dude thank piss
"What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun ",joy,great training course lot photo fun laughter Photo soon Boostercourse fun
Sometimes I think the British political landscape is desolate and then I look over at the foaming wasteland of the US and think we're OK,sadness,think british political landscape desolate look foam wasteland think ok
which always leads to the kind of hilarity average people will never experience - especially during breakups.,joy,lead kind hilarity average people experience especially breakup
should I #start posting #photos?,fear,start post photo
 I can't guess if you holding a grudge against the best',anger,guess hold grudge good
Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion #cops,anger,priority list thing outrage order outrage racism animalright abortion cop
@zavvi @zavvihelp only offering 6 moth warranty #ps4pro #shocking #truth #ripoff,fear,offer 6 moth warranty ps4pro shocking truth ripoff
@Netflix_ME penny dreadful season 3?,fear,penny dreadful season 3
You have to find a way to top yourself. #glee,joy,find way glee
"@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly, I do not *removes potentially indignant Mr D from convo*",anger,look especially lovely sadly remove potentially indignant Mr D convo
Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger,update lose power nearly 40 fast furious
@casillasbreanna awe thanks girl ðŸ˜ŠðŸ˜Š,fear,awe thank girl
@TheDuranSite Russian mistrust of the U.S is well justified &amp; the precaution they've taken are very prudent.,fear,russian mistrust justified amp precaution take prudent
@corruptmelon now im feeling the #worry,fear,m feel worry
"@rubeseatsinfo from here, it's but a short step to biweekly Community Meetings over a hearty meal of soy flakes",joy,short step biweekly Community Meetings hearty meal soy flake
#ThankYouCGI - Do not grow weary in doing good. #CGI2016,sadness,thankyoucgi grow weary good CGI2016
And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life,fear,piss kill people surrender hand hand visible fear life
I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes ,anger,point report Charlotte loot explore loot business symbolize
"Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness",sadness,11yo AfAm son advice today polite sudden movement hand sadness
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger,tracking equipment deliver service suddenly delay 3 week
When you have 15 doe run the opposite side of you ðŸ™ #depression,sadness,15 doe run opposite dy depression
@ImJim_YoureNot  cyber bully,fear,cyber bully
@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do... #sike #losers ,fear,try home tonight run 2nd 20 run 3rd 20 champ sike loser
@kencurtin they might get Donal Ã³g sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,anger,Donal A3g sure wo cork fiery dopey frank amp cult
"@5ftanomaly aside from that i'm all about pleasing the individual that i'm involved with, my pleasure comes from their pleasure.",joy,aside please individual involve pleasure come pleasure
I really hate Mel and Sue. They think they're hilarious and they're just awful,fear,hate Mel Sue think hilarious awful
My mind always seems to work its best at night #restless,fear,mind work good night restless
Do not grow weary in doing good. The treadlines are better than deadlines.' @billclinton #CGI2016,sadness,grow weary good treadline well deadline CGI2016
Never ever been this unhappy before in my life lmao,sadness,unhappy life lmao
